タイトル / Title,著者・作成者 / Creator,別表記タイトル / Other Title,種別 / Type,言語 / Langage,年月日 / Date,NCID,雑誌名 / Journal,巻 / Volume,号 / Number,"ページ数, 冊数 / Pages, Volumes",大きさ / Size,専攻 / Department,注記 / Note,請求記号 / Call Number,所蔵図書室 / Holding Library,タグ / Tag,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,IIIFマニフェストURI,# of media
On the Process of the Failure of Metals under Stress,湯浅 亀一|Yuasa Kameichi (Kameity),内力に因る金屬破壊の過程に就て,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",18,9,p.271-345,,,,,工2号館図書室|Engineering Bldg. 2 Library,,c77886e9-2d94-4dfa-8362-45f3aaa82b58,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/c77886e9-2d94-4dfa-8362-45f3aaa82b58,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69012,,,0
On the Resistance of Water to a Rapidly Moving Sphere,真島 正市|佐々木 重雄|Majima (Mashima) Masaichi|Sasaki Shigeo,高速度にて運動せる球體に及ぼす水の抵抗,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",18,10,p.347-356,,,,,工2号館図書室|Engineering Bldg. 2 Library,,797da87b-6ddb-4953-a523-a057dba06cb1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/797da87b-6ddb-4953-a523-a057dba06cb1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69013,,,0
The Crystallographic Investigation of some Mechanical Properties of the Metal. (Report I.),木谷 要一|Kitani (Kidani) Yoichi,金屬に關する機械的性質の結晶學的研究其の一,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,1,p.1-6,,,,,工2号館図書室|Engineering Bldg. 2 Library,,7ac2d2e1-ccc1-450b-b607-eae55d653db5,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/7ac2d2e1-ccc1-450b-b607-eae55d653db5,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69014,,,0
The Crystallographic Investigation of some Mechanical Properties of the Metal. (Report II.),木谷 要一|Kitani (Kidani) Yoichi,金屬に關する機械的性質の結晶學的研究其の二,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,1,p.7-15,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fc50ae8d-1d24-463f-952d-34e7bf2121ec,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fc50ae8d-1d24-463f-952d-34e7bf2121ec,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69015,,,0
On the Effects of Rifle-bullets on Plastic Materials.,真島 正市|佐々木 重雄|Majima (Mashima) Masaichi|Sasaki Shigeo,小銃彈の可塑材料に及ぼす影響に就て,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,2,p.17-23,,,,,工2号館図書室|Engineering Bldg. 2 Library,,bcda1aa6-61db-4730-ba0d-587bfbee6f3f,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/bcda1aa6-61db-4730-ba0d-587bfbee6f3f,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69016,,,0
Beitraege zur Gesteins-Sprengung.,青山 秀三郎|Aoyama Hidesaburo,岩石爆破に關する研究,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,3,p.25-69,,,,,工2号館図書室|Engineering Bldg. 2 Library,,e584b1af-b09e-4787-add8-d8d0aa0046b2,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/e584b1af-b09e-4787-add8-d8d0aa0046b2,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69017,,,0
On the Vibration of Conical Draft-tube of Water Turbine.,内丸 最一郎|鬼頭 史城|Uchimaru Saichiro|Kito Fumiki (Shijo),水車吸出管の振動に就て,紀要論文|Bulletin Paper,英語|English,1930,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,4,p.71-106,,,,,工2号館図書室|Engineering Bldg. 2 Library,,9399099e-324b-4c6e-a840-a5fbaff69cba,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/9399099e-324b-4c6e-a840-a5fbaff69cba,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69018,,,0
The Crystallographic Investigation of some Mechanical Properties of the Metal. III.--On the Damping of Lateral Vibration of Aluminium Crystal-plates.,木谷 要一|Kitani (Kidani) Yoichi,金屬材料に關する二三機械的特性の結晶學的研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,5,p.107-113,,,,,工2号館図書室|Engineering Bldg. 2 Library,,88c6f8a6-2c00-4e0e-9a67-cc78f7ead3a9,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/88c6f8a6-2c00-4e0e-9a67-cc78f7ead3a9,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69019,,,0
The Crystallographic Investigation of some Mechanical Properties of the Metal. IV.--On the Internal Slip of the Metal.,木谷 要一|Kitani (Kidani) Yoichi,金屬材料に關する二三機械的特性の結晶學的研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,5,p.115-129,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ed14fe41-83a2-4a7e-bd4f-27949bda43af,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ed14fe41-83a2-4a7e-bd4f-27949bda43af,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69020,,,0
Theory of Auto-Frettage--A Contribution to the Theory of Gun Construction.,佐々木 重雄|Sasaki Shigeo,砲身構造理論への一寄與として管體自彊理論の研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,6,p.131-176,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d2acdead-ebe3-4c49-bbf2-0e2848967e27,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d2acdead-ebe3-4c49-bbf2-0e2848967e27,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69021,,,0
Crystallographical Investigation of some Mechanical Properties of Metals. V.--Fatigue of Metals under Alternating Torsion.,木谷 要一|Kitani (Kidani) Yoichi,金屬材料に關する二三機械的特性の結晶學的研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,7,p.177-190,,,,,工2号館図書室|Engineering Bldg. 2 Library,,48919542-f2f8-4d3c-b5d2-d503607a7147,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/48919542-f2f8-4d3c-b5d2-d503607a7147,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69022,,,0
On Potential Flow of Water through a Centrifugal Impeller.,内丸 最一郎|鬼頭 史城|Uchimaru Saichiro|Kito Fumiki (Shijo),渦卷ポンプの羽根を通る水のポテンシアル流に就て,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,8,p.191-223,,,,,工2号館図書室|Engineering Bldg. 2 Library,,384ccc3f-e5a9-4e7c-9480-7bc247d9d4da,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/384ccc3f-e5a9-4e7c-9480-7bc247d9d4da,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69023,,,0
On the Reciprocating Motion of Planer Tables.,横山 勝任|Yokoyama Katsuto,平削機盤の往復運動に就て,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,9,p.225-262,,,,,工2号館図書室|Engineering Bldg. 2 Library,,3a695b5d-e827-4048-b6ce-e2c24d467f4e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/3a695b5d-e827-4048-b6ce-e2c24d467f4e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69024,,,0
Studies on the Mineral Grains in Relation to Dressing.,山口 吉郎|Yamaguchi Kichiro,選鑛學に關する鑛物粒の研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",19,10,p.263-388,,,,,工2号館図書室|Engineering Bldg. 2 Library,,4cf201f9-5187-494f-9104-53f405f86eb4,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/4cf201f9-5187-494f-9104-53f405f86eb4,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69025,,,0
A Study on the Structure of Cementite.,志村 繁隆|Shimura Shigetaka,セメンタイトの構造の研究,紀要論文|Bulletin Paper,英語|English,1931,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,1,p.1-53,,,,,工2号館図書室|Engineering Bldg. 2 Library,,eb056e75-d9ee-4f12-a2ce-5fb88b76ec87,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/eb056e75-d9ee-4f12-a2ce-5fb88b76ec87,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69026,,,0
Adsorption of Dyestuffs from Aqueous Solution by Japanese Acid Clay.,田中 芳男|桑田 勉|古田 迪|Tanaka Yoshio|Kuwata (Kuwada) Tsutomu|Furuta Susumu,水溶液中に於ける酸性白土の色素吸着作用,紀要論文|Bulletin Paper,英語|English,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,2,p.53-64,,,,,工2号館図書室|Engineering Bldg. 2 Library,,4f59d2e1-cea9-43e8-b7fd-098c13d64ccf,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/4f59d2e1-cea9-43e8-b7fd-098c13d64ccf,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69027,,,0
Studies on Coke and Charcoal. IV. The Effect of Ash on Reactivity and Combustibility of Carbon Materials.,大島 義清|福田 義民|Oshima Yoshikiyo|Fukuda Yoshitami,コークス及木炭に關する研究四、反應性及燃焼性に及ぼす灰の影響,紀要論文|Bulletin Paper,英語|English,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,3,p.65-99,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d0e991b4-a2da-4ada-97eb-7efeeadcb741,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d0e991b4-a2da-4ada-97eb-7efeeadcb741,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69028,,,0
"Stresses in a Plate with Two Holes, and the Examination of Cognate Problems.",横田 成年|Yokota Seinen,二つの穴ある板の内應力及これに關聯する問題の吟味,紀要論文|Bulletin Paper,英語|English,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,4,p.101-113,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d7f72d5a-3e3e-41fb-8246-489faf0b97f3,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d7f72d5a-3e3e-41fb-8246-489faf0b97f3,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69029,,,0
Stresses in Country Rock around a Vertical or an Inclined Circular Shaft.,杉原 武德|妹沢 克惟|Sugihara Takenori|Sezawa Katsutada,圓形竪坑及斜坑の周圍に於ける應力分布,紀要論文|Bulletin Paper,英語|English,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,5,p.115-132,,,,,工2号館図書室|Engineering Bldg. 2 Library,,da448a95-ca48-48cb-9bf7-4c80613b8c58,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/da448a95-ca48-48cb-9bf7-4c80613b8c58,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69030,,,0
On the Distribution of Crystal Lattice in a Stretched Aluminium Metal.,谷 安正|Tani Yasumasa,引延されたアルミニウム線中の結晶方向の分布,紀要論文|Bulletin Paper,英語|English,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,6,p.133-146,,,,,工2号館図書室|Engineering Bldg. 2 Library,,db76b01b-d646-4fe9-9f91-0e5503786fc0,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/db76b01b-d646-4fe9-9f91-0e5503786fc0,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69031,,,0
On the Induced Velocity and Characteristics of a Propeller.,守屋 富次郎|Moriya Tomijiro,プロペラの誘起速度と特性に就て,紀要論文|Bulletin Paper,英語|English,1933,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,7,p.147-162,,,,,工2号館図書室|Engineering Bldg. 2 Library,,f163ac10-6535-4ae7-8c1f-59b9c8b7505a,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f163ac10-6535-4ae7-8c1f-59b9c8b7505a,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69032,,,0
On the Elastic Stability of Aeroplane Structures.,山名 正夫|Yamana Masao,飛行機構造部分の彈性安定に就て,紀要論文|Bulletin Paper,英語|English,1933,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,8,p.163-224,,,,,工2号館図書室|Engineering Bldg. 2 Library,,4b47403a-6820-412f-810e-8cc021b52f77,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/4b47403a-6820-412f-810e-8cc021b52f77,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69033,,,0
Formänderung und Spannungsverteilung in der Nähe der Streckgrenze bei Flußstahl.,湯浅 亀一|Yuasa Kameichi (Kameity),軟鋼の降伏點に於ける變形機構と應力分布,紀要論文|Bulletin Paper,英語|English,1934,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,9,p.225-249,,,,,工2号館図書室|Engineering Bldg. 2 Library,,dbb9fddb-f068-4c0e-924c-c31eb61f429a,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/dbb9fddb-f068-4c0e-924c-c31eb61f429a,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69034,,,0
Experimental Study on Condenser-scoop.,内丸 最一郎|鬼頭 史城|Uchimaru Saichiro|Kito Fumiki (Shijo),船底水掬ひ装置の研究,紀要論文|Bulletin Paper,英語|English,1935,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,10,p.251-274,,,,,工2号館図書室|Engineering Bldg. 2 Library,,bd340652-583b-4958-a6fa-32c3a72a5eac,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/bd340652-583b-4958-a6fa-32c3a72a5eac,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69035,,,0
On the Condition for the Coincidence of Stresses calculated as Plane Stresses or Plane Strains and those as Symmetrical Strains.,最上 武雄|Mogami Takeo,プレーン・ストレス又はプレーン・ストレーンの應力とシンメトリカル・ストレーンの應力とが一致する場合の條件に就て,紀要論文|Bulletin Paper,英語|English,1935,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,11,p.275-282,,,,,工2号館図書室|Engineering Bldg. 2 Library,,e043f8eb-e74f-4992-8460-5e04ce06d2fb,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/e043f8eb-e74f-4992-8460-5e04ce06d2fb,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69036,,,0
Experimental Study on a Propeller Pump.,鬼頭 史城|Kito Fumiki (Shijo),軸流喞筒の實驗的研究,紀要論文|Bulletin Paper,英語|English,1936,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",20,12,p.283-334,,,,,工2号館図書室|Engineering Bldg. 2 Library,,2bddb842-880c-4aad-8103-e86c27b67ad2,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/2bddb842-880c-4aad-8103-e86c27b67ad2,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69037,,,0
On the Flow of Air through the Grain Layer.,野口 尚一|Noguchi Hisakazu,粒層を通る空氣流に就て,紀要論文|Bulletin Paper,英語|English,1937,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",21,1,p.1-42,,,,,工2号館図書室|Engineering Bldg. 2 Library,,66b7c9e1-2002-46e9-baad-3bbe006ba8a3,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/66b7c9e1-2002-46e9-baad-3bbe006ba8a3,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69038,,,0
Experimental Investigation of Water Hammers in Steel Pipes.,鈴木 茂哉|Suzuki Shigeya,鋼管中の水槌作用に關する實驗的研究,紀要論文|Bulletin Paper,英語|English,1937,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",21,2,p.43-114,,,,,工2号館図書室|Engineering Bldg. 2 Library,,0a5ef18c-ebeb-4379-989c-66b23f835a07,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/0a5ef18c-ebeb-4379-989c-66b23f835a07,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69039,,,0
Theoretische Überlegungen über die elektrochemischen Eigenschaften des flüssigen Ammoniaks.,牧島 象二|Makishima Shoji,液體アムモニアの電氣化學的性質に關する理論的考察,紀要論文|Bulletin Paper,英語|English,1938,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",21,3,p.115-168,,,,,工2号館図書室|Engineering Bldg. 2 Library,,aac592d9-36f5-4faf-936e-1053b1039b7e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/aac592d9-36f5-4faf-936e-1053b1039b7e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69040,,,0
A Contribution to the Theory of Powder Stress in a Gun.,西村 源六郎|Nishimura Genrokuro,砲身内に於ける火藥應力の理論に對する寄與,紀要論文|Bulletin Paper,英語|English,1938,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",21,4,p.169-245,,,,,工2号館図書室|Engineering Bldg. 2 Library,,178632b5-90a9-431f-bf91-98215ca3f114,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/178632b5-90a9-431f-bf91-98215ca3f114,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69041,,,0
On the Characteristics of Axial Flow Turbines of Propeller Type.,兼重 寛九郎|Kaneshige Kankuro,プロペラ型軸流水車の特性に就て,紀要論文|Bulletin Paper,英語|English,1938,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",21,5,p.247-309,,,,,工2号館図書室|Engineering Bldg. 2 Library,,1b1e5af3-4068-4f72-90c3-0b085a49c3d8,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/1b1e5af3-4068-4f72-90c3-0b085a49c3d8,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69042,,,0
坑内地壓の解説,杉原 武德|Sugihara Takenori,,紀要論文|Bulletin Paper,日本語|Japanese,1940,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",22,1,p.1-105,,,,,工2号館図書室|Engineering Bldg. 2 Library,,42807783-dfa6-43c5-a894-c767d743c2da,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/42807783-dfa6-43c5-a894-c767d743c2da,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69043,,,0
Study of the Cupriferous Pyritic Ores from the Bessi Mine.,西尾 滋|Nishio Shigeru,別子鑛山産出含銅硫化鐵鑛の研究,紀要論文|Bulletin Paper,英語|English,1940,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",23,1,p.1-87,,,,,工2号館図書室|Engineering Bldg. 2 Library,,0079758e-997f-4010-a00f-1bfa14ac121c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/0079758e-997f-4010-a00f-1bfa14ac121c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69044,,,0
Dynamic Vibration Absorber Applied to Crank Shaft.,谷下 市松|Tanishita Ichimatsu,,紀要論文|Bulletin Paper,英語|English,1941,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",23,2,p.89-171,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fb5479f5-af95-4cca-afff-0755919c8782,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fb5479f5-af95-4cca-afff-0755919c8782,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69045,,,0
On the Problem of Saint-Venant and Applications of Bipolar Coordinates therein.,横田 成年|Yokota Seinen,,紀要論文|Bulletin Paper,英語|English,1941,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",23,3,p.173-186,,,,,工2号館図書室|Engineering Bldg. 2 Library,,79cf509a-8bd7-46ad-8fc9-e8388a3c9556,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/79cf509a-8bd7-46ad-8fc9-e8388a3c9556,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69046,,,0
On the Discontinuity of Displacement in Two-dimensional Problems of Elasticity.,小野 鑑正|Ono Akimasa,,紀要論文|Bulletin Paper,英語|English,1943,AA1159740X,"Journal of the First Faculty of Engineering, Tokyo Imperial University = 東京帝國大學第一工學部紀要",23,4,p.187-203,,,,,工2号館図書室|Engineering Bldg. 2 Library,,e51f7de5-1ba7-4ca8-bb27-3738506aa83c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/e51f7de5-1ba7-4ca8-bb27-3738506aa83c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69047,,,0
A note on the above paper.,横田 成年|Yokota Seinen,,紀要論文|Bulletin Paper,英語|English,1943,AA1159740X,"Journal of the First Faculty of Engineering, Tokyo Imperial University = 東京帝國大學第一工學部紀要",23,4,p.205-206,,,,,工2号館図書室|Engineering Bldg. 2 Library,,8453c303-d6ce-4588-8d6b-cc7485073bc8,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8453c303-d6ce-4588-8d6b-cc7485073bc8,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/69048,,,0
Essay on Progress of Electricity and Telegraphy,志田 林三郎|Shida Rinzaburo,Bulletin,卒業論文|Thesis,英語|English,1879,,,,,,,電信学,,1,工2号館図書室|Engineering Bldg. 2 Library,,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5ad34ae0-0bf3-45ed-b354-a1bc6f38e124,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/e4fdf23268da5403b9188aef8bcf985952a61100.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/69049,,https://curation.library.t.u-tokyo.ac.jp/iiif/5ad34ae0-0bf3-45ed-b354-a1bc6f38e124/manifest,221
An essay on Stationary steam engine with many sketches,田中 林太郎|Tanaka Rintaro,Stationary Steam Engine with many Sketches,卒業論文|Thesis,英語|English,1881,,,,,,,機械工学,,25,工2号館図書室|Engineering Bldg. 2 Library,,27170c7f-8802-460b-bd3e-a6ac9f3c092a,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/27170c7f-8802-460b-bd3e-a6ac9f3c092a,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/6ea687826a13a0f03c6fb6ccc068a03706a72039.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/69050,,https://curation.library.t.u-tokyo.ac.jp/iiif/27170c7f-8802-460b-bd3e-a6ac9f3c092a/manifest,59
